"unigram","bigram","freq"
"to","try",107
"us","to",107
"get","the",106
"is","also",106
"it","a",106
"my","favorite",106
"that","my",106
"think","that",106
"too","much",106
"you","think",106
"based","on",105
"from","my",105
"i","found",105
"if","we",105
"in","that",105
"to","think",105
"to","write",105
"amount","of",104
"first","time",104
"it","i",104
"the","city",104
"who","is",104
"i","knew",103
"in","her",103
"the","second",103
"with","some",103
"across","the",102
"as","he",102
"rest","of",102
"to","our",102
"feel","like",101
"no","one",101
"of","an",101
"the","state",101
"they","had",101
"to","your",101
"and","this",100
"be","in",100
"because","they",100
"but","its",100
"is","going",100
"she","had",100
"them","and",100
"to","play",100
"where","i",100
"for","her",99
"having","a",99
"i","guess",99
"side","of",99
"to","you",99
"up","on",99
"a","day",98
"for","our",98
"think","of",98
"and","even",97
"and","im",97
"as","you",97
"because","the",97
"for","his",97
"got","a",97
"just","as",97
"or","not",97
"that","there",97
"to","share",97
"and","how",96
"are","you",96
"away","from",96
"down","to",96
"much","of",96
"so","far",96
"the","game",96
"the","kids",96
"the","middle",96
"to","stop",96
"a","week",95
"is","still",95
"the","idea",95
"the","s",95
"to","live",95
"at","this",94
"tell","you",94
"they","can",94
"what","we",94
"with","it",94
"a","while",93
"but","they",93
"can","see",93
"front","of",93
"have","no",93
"is","now",93
"not","have",93
"on","your",93
"out","there",93
"to","read",93
"to","start",93
"to","them",93
"who","has",93
"who","was",93
"you","could",93
"being","a",92
"hard","to",92
"i","couldnt",92
"is","what",92
"me","that",92
"order","to",92
"the","more",92
"think","i",92
"to","it",92
"was","going",92
"who","have",92
"all","that",91
"and","their",91
"between","the",91
"for","an",91
"here","are",91
"like","this",91
"make","the",91
"on","their",91
"seems","to",91
"you","need",91
"for","that",90
"full","of",90
"in","some",90
"said","that",90
"seem","to",90
"the","united",90
"find","a",89
"for","some",89
"if","youre",89
"may","have",89
"on","to",89
"she","said",89
"the","old",89
"the","year",89
"to","tell",89
"to","their",89
"which","was",89
"you","do",89
"for","it",88
"it","up",88
"me","a",88
"them","in",88
"and","there",87
"can","get",87
"every","day",87
"for","all",87
"for","us",87
"i","get",87
"is","my",87
"it","but",87
"it","for",87
"sense","of",87
"that","if",87
"the","back",87
"these","are",87
"and","when",86
"come","to",86
"going","on",86
"have","had",86
"in","all",86
"is","it",86
"know","how",86
"or","the",86
"she","has",86
"the","sun",86
"the","very",86
"they","will",86
"with","this",86
"am","not",85
"and","her",85
"and","now",85
"for","their",85
"here","is",85
"him","and",85
"i","never",85
"im","going",85
"it","out",85
"tried","to",85
"about","this",84
"and","as",84
"any","of",84
"before","i",84
"believe","that",84
"but","that",84
"but","this",84
"has","to",84
"it","seems",84
"its","the",84
"looking","for",84
"much","more",84
"now","i",84
"ready","to",84
"though","i",84
"united","states",84
"while","i",84
"while","the",84
"a","way",83
"i","felt",83
"make","sure",83
"my","first",83
"said","he",83
"the","th",83
"things","that",83
"time","and",83
"with","your",83
"your","own",83
"a","time",82
"do","with",82
"dont","think",82
"i","still",82
"in","its",82
"let","me",82
"live","in",82
"of","its",82
"since","i",82
"supposed","to",82
"theres","a",82
"top","of",82
"will","not",82
"you","may",82
"as","if",81
"continue","to",81
"his","own",81
"i","took",81
"must","be",81
"out","in",81
"talking","about",81
"think","about",81
"until","the",81
"we","all",81
"a","whole",80
"are","all",80
"could","have",80
"for","example",80
"i","saw",80
"i","should",80
"i","started",80
"is","more",80
"of","time",80
"since","the",80
"that","has",80
"dont","want",79
"for","your",79
"high","school",79
"in","front",79
"like","i",79
"no","longer",79
"was","to",79
"we","dont",79
"a","huge",78
"about","how",78
"at","home",78
"back","and",78
"but","not",78
"could","not",78
"day","and",78
"less","than",78
"me","the",78
"so","the",78
"take","the",78
"the","lord",78
"the","main",78
"the","moment",78
"was","an",78
"you","and",78
"you","get",78
"a","large",77
"and","get",77
"are","in",77
"are","so",77
"close","to",77
"for","them",77
"life","and",77
"more","of",77
"of","life",77
"so","you",77
"the","case",77
"they","do",77
"to","him",77
"we","do",77
"who","had",77
"with","him",77
"a","book",76
"but","we",76
"love","to",76
"on","it",76
"the","entire",76
"to","all",76
"were","not",76
"what","he",76
"would","not",76
"a","different",75
"a","man",75
"and","just",75
"and","some",75
"but","a",75
"came","to",75
"group","of",75
"made","it",75
"much","as",75
"the","show",75
"this","book",75
"to","look",75
"up","for",75
"are","some",74
"but","if",74
"even","more",74
"for","those",74
"he","would",74
"it","comes",74
"like","that",74
"on","our",74
"the","front",74
"think","it",74
"to","us",74
"was","just",74
"you","see",74
"better","than",73
"i","mean",73
"im","a",73
"it","with",73
"its","been",73
"so","it",73
"the","company",73
"then","the",73
"to","hear",73
"with","their",73
"with","you",73
"and","for",72
"and","had",72
"but","also",72
"how","i",72
"idea","of",72
"it","doesnt",72
"it","the",72
"made","a",72
"the","film",72
"the","public",72
"what","it",72
"when","she",72
"a","woman",71
"against","the",71
"because","he",71
"do","i",71
"do","the",71
"her","to",71
"i","wasnt",71
"if","he",71
"it","as",71
"it","does",71
"know","the",71
"little","bit",71
"of","which",71
"on","her",71
"one","day",71
"only","a",71
"should","have",71
"something","that",71
"this","post",71
"time","in",71
"we","need",71
"we","would",71
"with","them",71
"but","in",70
"in","it",70
"not","sure",70
"that","in",70
"the","big",70
"the","little",70
"to","let",70
"to","that",70
"told","me",70
"with","all",70
"you","would",70
"all","i",69
"as","to",69
"become","a",69
"but","im",69
"but","you",69
"here","and",69
"i","find",69
"needed","to",69
"now","and",69
"people","are",69
"people","to",69
"the","door",69
"the","ground",69
"the","night",69
"the","word",69
"thing","i",69
"what","they",69
"what","was",69
"would","like",69
"you","all",69
"all","over",68
"but","he",68
"check","out",68
"comes","to",68
"here","in",68
"ill","be",68
"it","on",68
"made","the",68
"my","heart",68
"of","being",68
"out","for",68
"the","final",68
"to","stay",68
"wants","to",68
"way","of",68
"years","of",68
"you","should",68
"a","better",67
"a","more",67
"and","one",67
"and","with",67
"as","she",67
"at","my",67
"chance","to",67
"last","night",67
"love","the",67
"needs","to",67
"once","again",67
"one","thing",67
"over","and",67
"to","buy",67
"to","show",67
"was","that",67
"a","nice",66
"and","of",66
"easy","to",66
"how","the",66
"i","havent",66
"lack","of",66
"long","as",66
"members","of",66
"no","matter",66
"of","how",66
"that","its",66
"the","things",66
"this","morning",66
"to","move",66
"with","that",66
"within","the",66
"a","group",65
"and","will",65
"did","i",65
"i","believe",65
"my","husband",65
"my","mind",65
"of","god",65
"on","and",65
"on","that",65
"thanks","to",65
"the","family",65
"the","original",65
"the","problem",65
"the","room",65
"there","will",65
"to","eat",65
"to","learn",65
"to","pay",65
"to","win",65
"use","the",65
"willing","to",65
"a","month",64
"and","has",64
"can","do",64
"do","that",64
"he","could",64
"i","say",64
"in","any",64
"is","for",64
"known","as",64
"managed","to",64
"me","in",64
"not","just",64
"quite","a",64
"said","i",64
"that","were",64
"the","man",64
"to","an",64
"to","become",64
"way","i",64
"ability","to",63
"and","make",63
"are","still",63
"but","then",63
"did","you",63
"down","and",63
"for","him",63
"for","more",63
"forward","to",63
"had","no",63
"how","many",63
"in","new",63
"it","wasnt",63
"like","it",63
"list","of",63
"may","not",63
"my","friends",63
"the","floor",63
"the","following",63
"the","great",63
"the","internet",63
"the","years",63
"time","for",63
"what","a",63
"you","for",63
"also","a",62
"are","going",62
"day","i",62
"end","up",62
"i","see",62
"im","sure",62
"looking","at",62
"said","it",62
"set","up",62
"than","i",62
"the","car",62
"they","dont",62
"they","would",62
"to","leave",62
"was","one",62
"we","could",62
"a","wonderful",61
"along","the",61
"do","this",61
"for","years",61
"i","said",61
"just","the",61
"love","and",61
"only","one",61
"or","two",61
"the","government",61
"there","and",61
"this","blog",61
"was","no",61
"we","got",61
"a","real",60
"and","let",60
"can","make",60
"create","a",60
"didnt","have",60
"do","so",60
"might","have",60
"my","head",60
"now","that",60
"over","a",60
"that","can",60
"that","one",60
"the","good",60
"the","road",60
"the","work",60
"to","what",60
"us","and",60
"we","know",60
"what","do",60
"working","on",60
"about","to",59
"and","our",59
"i","always",59
"in","addition",59
"in","one",59
"is","about",59
"it","can",59
"it","just",59
"piece","of",59
"see","what",59
"talk","about",59
"the","american",59
"the","beginning",59
"took","a",59
"waiting","for",59
"was","very",59
"about","what",58
"and","at",58
"and","no",58
"as","long",58
"but","for",58
"ended","up",58
"have","an",58
"just","to",58
"know","i",58
"my","family",58
"not","in",58
"of","things",58
"or","even",58
"out","on",58
"out","with",58
"that","all",58
"the","bottom",58
"the","truth",58
"the","white",58
"thinking","about",58
"throughout","the",58
"to","its",58
"type","of",58
"using","the",58
"was","on",58
"you","cant",58
"you","were",58
"a","really",57
"among","the",57
"and","on",57
"day","of",57
"interested","in",57
"not","going",57
"the","morning",57
"the","name",57
"the","school",57
"thought","i",57
"time","of",57
"to","ask",57
"to","call",57
"well","i",57
"after","all",56
"and","said",56
"but","as",56
"but","when",56
"have","any",56
"he","did",56
"i","might",56
"is","very",56
"it","makes",56
"just","like",56
"many","people",56
"middle","of",56
"other","than",56
"state","of",56
"the","movie",56
"the","power",56
"the","reason",56
"to","add",56
"to","change",56
"were","a",56
"wont","be",56
"you","just",56
"a","friend",55
"a","second",55
"and","also",55
"and","your",55
"but","there",55
"even","the",55
"friends","and",55
"got","the",55
"have","some",55
"have","you",55
"he","didnt",55
"he","says",55
"in","to",55
"it","had",55
"listen","to",55
"one","that",55
"opportunity","to",55
"out","a",55
"out","that",55
"same","time",55
"that","have",55
"thats","what",55
"the","local",55
"them","i",55
"today","i",55
"you","like",55
"a","short",54
"and","see",54
"back","on",54
"care","of",54
"do","a",54
"few","years",54
"i","read",54
"into","my",54
"is","all",54
