"unigram","bigram","trigram","freq"
"check","out","the",27
"feel","free","to",27
"have","to","say",27
"i","had","the",27
"in","a","few",27
"in","one","of",27
"in","the","uk",27
"it","can","be",27
"just","have","to",27
"one","of","these",27
"that","this","is",27
"the","amount","of",27
"the","time","i",27
"to","deal","with",27
"to","do","a",27
"to","look","at",27
"to","work","on",27
"we","went","to",27
"what","to","do",27
"will","be","the",27
"a","bit","more",26
"a","matter","of",26
"a","member","of",26
"a","series","of",26
"and","i","love",26
"down","to","the",26
"i","think","the",26
"if","you","can",26
"in","love","with",26
"in","the","back",26
"in","the","future",26
"no","matter","what",26
"over","the","last",26
"that","there","are",26
"to","have","the",26
"to","take","the",26
"to","think","about",26
"to","use","the",26
"trying","to","get",26
"was","a","little",26
"what","kind","of",26
"will","not","be",26
"you","can","find",26
"you","can","get",26
"you","will","be",26
"but","if","you",25
"for","you","to",25
"get","to","the",25
"go","back","to",25
"he","is","a",25
"i","didnt","know",25
"i","had","no",25
"in","a","way",25
"is","a","great",25
"is","also","a",25
"is","not","the",25
"is","the","most",25
"may","not","be",25
"member","of","the",25
"middle","of","the",25
"much","as","i",25
"new","york","city",25
"of","my","life",25
"of","the","first",25
"over","and","over",25
"seem","to","be",25
"such","as","the",25
"the","beginning","of",25
"the","history","of",25
"they","are","not",25
"this","was","a",25
"you","know","that",25
"a","few","days",24
"a","few","of",24
"a","list","of",24
"all","kinds","of",24
"along","with","the",24
"and","all","the",24
"and","in","the",24
"as","one","of",24
"at","some","point",24
"based","on","the",24
"because","i","have",24
"dont","know","how",24
"every","time","i",24
"for","me","i",24
"for","some","reason",24
"have","no","idea",24
"i","am","so",24
"i","can","get",24
"i","tried","to",24
"it","was","an",24
"of","course","the",24
"of","the","other",24
"of","the","same",24
"out","of","my",24
"so","you","can",24
"the","face","of",24
"the","size","of",24
"the","way","to",24
"there","are","many",24
"there","are","some",24
"to","be","an",24
"to","do","this",24
"to","figure","out",24
"to","see","if",24
"want","to","see",24
"was","a","good",24
"we","want","to",24
"you","know","what",24
"all","of","this",23
"all","sorts","of",23
"as","it","is",23
"be","one","of",23
"even","if","it",23
"for","the","past",23
"for","those","of",23
"has","to","be",23
"have","to","go",23
"in","the","early",23
"it","should","be",23
"it","was","not",23
"its","going","to",23
"let","me","know",23
"of","the","people",23
"of","the","way",23
"or","at","least",23
"over","the","past",23
"some","kind","of",23
"that","is","a",23
"the","ability","to",23
"the","heart","of",23
"the","other","hand",23
"the","sound","of",23
"the","use","of",23
"the","way","i",23
"there","have","been",23
"to","be","honest",23
"to","do","that",23
"to","get","out",23
"to","have","been",23
"to","have","to",23
"to","say","the",23
"want","to","do",23
"when","he","was",23
"you","are","a",23
"a","few","months",22
"at","the","top",22
"be","in","the",22
"because","they","are",22
"bmw","service","center",22
"could","have","been",22
"dont","know","if",22
"for","the","rest",22
"going","to","get",22
"how","do","you",22
"i","can","see",22
"i","didnt","have",22
"i","have","had",22
"i","have","seen",22
