"unigram","bigram","trigram","freq"
"and","let","us",6
"and","making","sure",6
"and","more","importantly",6
"and","my","husband",6
"and","now","i",6
"and","now","the",6
"and","over","the",6
"and","put","on",6
"and","said","that",6
"and","see","the",6
"and","she","had",6
"and","that","she",6
"and","that","they",6
"and","the","answer",6
"and","the","fact",6
"and","the","kids",6
"and","the","like",6
"and","the","most",6
"and","there","were",6
"and","wait","for",6
"and","we","would",6
"and","what","it",6
"and","what","you",6
"and","when","it",6
"and","when","the",6
"and","when","they",6
"and","when","we",6
"and","your","family",6
"any","type","of",6
"anything","to","do",6
"appeal","to","the",6
"appears","to","have",6
"are","likely","to",6
"are","no","longer",6
"are","the","most",6
"are","the","only",6
"are","the","same",6
"are","thinking","of",6
"are","unable","to",6
"around","the","edges",6
"as","a","family",6
"as","close","as",6
"as","good","as",6
"as","i","did",6
"as","i","know",6
"as","i","sat",6
"as","i","write",6
"as","it","turns",6
"as","she","was",6
"as","someone","who",6
"as","they","have",6
"as","they","were",6
"as","to","whether",6
"as","we","all",6
"as","we","were",6
"ask","for","a",6
"aspects","of","the",6
"at","all","in",6
"at","each","other",6
"at","first","glance",6
"at","least","it",6
"at","least","years",6
"at","me","and",6
"at","me","i",6
"at","night","and",6
"at","one","of",6
"at","some","of",6
"at","the","center",6
"at","the","first",6
"at","the","height",6
"at","the","hospital",6
"at","the","new",6
"at","the","table",6
"at","the","thought",6
"available","to","the",6
"away","from","my",6
"back","when","i",6
"based","on","their",6
"based","on","what",6
"be","a","great",6
"be","a","little",6
"be","a","lot",6
"be","allowed","to",6
"be","described","as",6
"be","enough","to",6
"be","forced","to",6
"be","good","for",6
"be","hard","to",6
"be","honest","with",6
"be","interesting","to",6
"be","known","as",6
"be","nice","to",6
"be","possible","to",6
"be","the","only",6
"be","there","for",6
"because","i","dont",6
"because","of","a",6
"because","of","his",6
"below","is","a",6
"best","way","to",6
"big","fan","of",6
"bit","of","the",6
"book","in","the",6
"but","also","to",6
"but","i","felt",6
"but","i","want",6
"but","i","wasnt",6
"but","if","youre",6
"but","im","a",6
"but","instead","of",6
"but","it","doesnt",6
"but","it","still",6
"but","since","i",6
"but","they","dont",6
"but","we","dont",6
"by","members","of",6
"by","one","of",6
"by","people","who",6
"by","saying","that",6
"by","the","same",6
"call","or","visit",6
"came","out","in",6
"came","out","of",6
"came","to","me",6
"can","afford","to",6
"can","also","be",6
"can","be","done",6
"can","be","said",6
"can","lead","to",6
"can","make","your",6
"can","you","tell",6
"cant","figure","out",6
"care","of","the",6
"catch","up","on",6
"center","for","the",6
"chance","to","win",6
"chapter","of","the",6
"charge","of","the",6
"come","back","and",6
"come","from","a",6
"come","to","an",6
"come","to","me",6
"coming","out","of",6
"coming","to","the",6
"connected","to","the",6
"could","it","be",6
"couple","of","hours",6
"course","of","the",6
"deal","with","it",6
"dealing","with","a",6
"decided","not","to",6
"decided","that","i",6
"decided","to","have",6
"designed","to","provide",6
"development","of","the",6
"did","a","little",6
"did","manage","to",6
"directly","to","the",6
"do","a","lot",6
"do","anything","to",6
"do","but","i",6
"do","have","a",6
"do","it","and",6
"do","what","i",6
"do","you","need",6
"does","it","mean",6
"dont","know","about",6
"dont","know","but",6
"dont","like","it",6
"dont","like","to",6
"dont","think","i",6
"dont","think","so",6
"down","the","road",6
"during","the","first",6
"each","of","them",6
"each","of","us",6
"easy","to","get",6
"embark","on","a",6
"end","of","my",6
"enough","to","keep",6
"especially","if","you",6
"even","as","i",6
"even","if","its",6
"even","more","so",6
"even","think","about",6
"even","though","he",6
"even","want","to",6
"even","when","i",6
"every","bit","as",6
"every","day","but",6
"exactly","the","same",6
"exactly","what","i",6
"expected","to","be",6
"fact","that","you",6
"faith","in","god",6
"fall","in","love",6
"far","we","have",6
"feel","as","if",6
"feel","like","it",6
"feel","like","they",6
"few","days","i",6
"few","years","back",6
"finally","get","to",6
"first","half","of",6
"focused","on","the",6
"for","a","nice",6
"for","a","short",6
"for","an","hour",6
"for","each","of",6
"for","each","other",6
"for","him","and",6
"for","my","family",6
"for","my","own",6
"for","people","who",6
"for","so","long",6
"for","such","a",6
"for","the","greater",6
"for","the","purpose",6
"for","the","whole",6
"for","you","all",6
"four","of","the",6
"four","or","five",6
"from","the","front",6
"from","the","top",6
"gave","it","a",6
"gave","me","a",6
"get","around","to",6
"get","him","to",6
"get","into","the",6
"get","up","and",6
"getting","in","the",6
"getting","ready","for",6
"give","them","a",6
"go","on","a",6
"going","into","the",6
"going","on","with",6
"going","to","come",6
"going","to","give",6
"going","to","see",6
"good","enough","to",6
"good","for","my",6
"good","or","bad",6
"good","to","be",6
"got","a","new",6
"great","to","see",6
"grew","up","in",6
"had","a","very",6
"had","come","to",6
"had","one","of",6
"hang","out","with",6
"happens","to","be",6
"happy","with","the",6
"has","been","done",6
"has","never","been",6
"has","to","go",6
"have","a","chance",6
"have","a","few",6
"have","a","new",6
"have","a","very",6
"have","been","more",6
"have","been","the",6
"have","come","up",6
"have","made","it",6
"have","something","to",6
"have","the","ability",6
"have","the","opportunity",6
"have","the","time",6
"have","to","ask",6
"have","to","give",6
"have","to","share",6
"have","to","worry",6
"having","a","good",6
"having","such","a",6
"he","is","in",6
"he","is","still",6
"he","said","in",6
"he","should","be",6
"he","was","born",6
"he","was","doing",6
"help","you","to",6
"her","out","of",6
"her","to","the",6
"here","and","here",6
"here","we","are",6
"him","and","the",6
"him","if","he",6
"him","in","a",6
"home","of","the",6
"hope","you","enjoy",6
"hours","a","week",6
"how","do","i",6
"how","do","we",6
"how","i","was",6
"how","long","it",6
"how","many","people",6
"how","much","more",6
"i","added","a",6
"i","also","have",6
"i","also","used",6
"i","am","almost",6
"i","am","aware",6
"i","am","working",6
"i","assure","you",6
"i","believe","it",6
"i","can","say",6
"i","cant","imagine",6
"i","could","ever",6
"i","could","find",6
"i","could","tell",6
"i","did","and",6
"i","did","get",6
"i","didnt","even",6
"i","didnt","get",6
"i","didnt","really",6
"i","do","that",6
"i","do","the",6
"i","forgot","to",6
"i","gave","it",6
"i","guess","thats",6
"i","had","already",6
"i","had","heard",6
"i","had","planned",6
"i","hate","the",6
"i","have","in",6
"i","have","so",6
"i","have","written",6
"i","heard","a",6
"i","hope","the",6
"i","just","think",6
"i","know","he",6
"i","know","ive",6
"i","know","who",6
"i","look","forward",6
"i","love","him",6
"i","loved","it",6
"i","make","a",6
"i","might","add",6
"i","must","have",6
"i","must","say",6
"i","need","a",6
"i","never","had",6
"i","noticed","that",6
"i","now","have",6
"i","plan","to",6
"i","put","the",6
"i","ran","into",6
"i","read","it",6
"i","really","have",6
"i","saw","it",6
"i","saw","that",6
"i","saw","this",6
"i","see","it",6
"i","seem","to",6
"i","spent","a",6
"i","started","with",6
"i","think","about",6
"i","think","he",6
"i","think","thats",6
"i","think","theyre",6
"i","took","my",6
"i","want","you",6
"i","was","always",6
"i","was","expecting",6
"i","was","having",6
"i","was","lucky",6
"i","was","more",6
"i","was","too",6
"i","wasnt","sure",6
"i","went","out",6
"if","i","do",6
"if","i","need",6
"if","she","was",6
"if","there","are",6
"if","there","was",6
"if","there","were",6
"if","they","did",6
"if","they","dont",6
"if","we","are",6
"if","we","do",6
"if","we","were",6
"if","you","just",6
"ill","try","to",6
"im","a","bit",6
"im","a","little",6
"im","in","a",6
"im","still","not",6
"in","a","couple",6
"in","a","day",6
"in","a","good",6
"in","a","relationship",6
"in","a","week",6
"in","accordance","with",6
"in","and","of",6
"in","any","case",6
"in","as","a",6
"in","both","the",6
"in","cuyahoga","county",6
"in","different","ways",6
"in","fact","it",6
"in","his","mind",6
"in","item","c",6
"in","lieu","of",6
"in","mind","and",6
"in","more","than",6
"in","my","house",6
"in","new","hampshire",6
"in","november","and",6
"in","our","family",6
"in","some","way",6
"in","store","for",6
"in","the","absence",6
"in","the","amazon",6
"in","the","bible",6
"in","the","bowl",6
"in","the","core",6
"in","the","corner",6
"in","the","field",6
"in","the","good",6
"in","the","head",6
"in","the","mail",6
"in","the","market",6
"in","the","news",6
"in","the","park",6
"in","the","picture",6
"in","the","region",6
"in","the","school",6
"in","the","video",6
"in","the","wake",6
"in","which","a",6
"in","which","she",6
"in","which","they",6
"in","with","a",6
"in","your","head",6
"in","your","mind",6
"included","in","the",6
"information","on","the",6
"instead","of","just",6
"instead","of","the",6
"interested","in","the",6
"interpretation","of","the",6
"into","the","house",6
"into","the","kitchen",6
"into","the","night",6
"is","a","must",6
"is","a","place",6
"is","a","pretty",6
"is","a","shame",6
"is","a","story",6
"is","a","wonderful",6
"is","and","is",6
"is","because","i",6
"is","better","than",6
"is","born","of",6
"is","by","no",6
"is","just","one",6
"is","known","as",6
"is","more","of",6
"is","no","more",6
"is","not","about",6
"is","not","as",6
"is","not","going",6
"is","not","good",6
"is","not","just",6
"is","not","my",6
"is","nothing","to",6
"is","of","course",6
"is","of","the",6
"is","only","a",6
"is","out","of",6
"is","perfect","for",6
"is","similar","to",6
"is","starting","to",6
"is","subject","to",6
"is","the","perfect",6
"is","the","story",6
"it","and","it",6
"it","and","then",6
"it","doesnt","take",6
"it","has","to",6
"it","hit","me",6
"it","i","think",6
"it","is","actually",6
"it","is","and",6
"it","is","going",6
"it","is","i",6
"it","is","more",6
"it","is","said",6
"it","is","too",6
"it","means","that",6
"it","out","for",6
"it","sounds","like",6
"it","used","to",6
"it","was","delicious",6
"it","was","fun",6
"it","was","hard",6
"it","was","nice",6
"it","was","ok",6
"it","will","not",6
"it","wont","be",6
"item","c","above",6
"its","also","a",6
"its","great","to",6
"its","harder","to",6
"its","not","really",6
"its","not","that",6
"its","something","that",6
"its","unlikely","that",6
"its","up","to",6
"ive","got","a",6
"ive","had","to",6
"just","about","every",6
"just","for","the",6
"just","in","case",6
"just","say","that",6
"just","to","be",6
"kids","and","i",6
"kind","of","like",6
"kind","of","thing",6
"know","a","lot",6
"know","about","you",6
"know","exactly","what",6
"know","i","know",6
"know","the","truth",6
"know","what","im",6
"know","what","they",6
"la","la","la",6
"last","few","years",6
"last","post","i",6
"last","year","i",6
"last","year","in",6
"lead","to","the",6
"level","mp","cost",6
"life","as","a",6
"life","i","have",6
"life","is","good",6
"life","is","not",6
"like","i","said",6
"like","to","think",6
"little","bit","more",6
"little","more","than",6
"live","up","to",6
"lived","in","the",6
"living","in","a",6
"long","enough","to",6
"look","at","this",6
"look","to","the",6
"lot","of","things",6
"lots","of","people",6
"love","to","cook",6
"made","me","feel",6
"make","a","lot",6
"make","it","happen",6
"make","sure","your",6
"make","you","feel",6
"makes","me","want",6
"many","of","those",6
"matter","how","much",6
"me","and","im",6
"me","at","the",6
"me","for","the",6
"me","i","am",6
"me","of","a",6
"me","tell","you",6
"me","that","they",6
"me","to","my",6
"me","to","write",6
"member","of","a",6
"minutes","or","until",6
"months","ago","i",6
"more","about","the",6
"more","important","than",6
"more","often","than",6
"more","on","the",6
"more","than","any",6
"most","of","his",6
"most","of","it",6
"much","for","the",6
"much","of","it",6
"my","body","and",6
"my","daughter","and",6
"my","first","year",6
"my","friend","and",6
"my","head","and",6
"my","heart","and",6
"my","life","has",6
"my","minds","eye",6
"myself","it","was",6
"name","a","few",6
"need","to","use",6
"never","been","a",6
"never","had","the",6
"new","years","eve",6
"next","couple","of",6
"night","and","i",6
"no","amount","of",6
"no","in","the",6
"no","longer","be",6
"no","need","to",6
"no","one","else",6
"no","one","in",6
"no","one","knows",6
"no","way","to",6
"not","a","good",6
"not","because","of",6
"not","for","the",6
"not","have","a",6
"not","in","a",6
"not","just","the",6
"not","know","how",6
"not","need","to",6
"not","on","the",6
"not","only","does",6
"not","only","is",6
"not","quite","as",6
"not","sure","that",6
"not","the","most",6
"now","have","a",6
"now","it","is",6
"now","so","i",6
"now","we","are",6
"now","we","have",6
"number","of","people",6
"of","a","book",6
"of","a","lot",6
"of","course","but",6
"of","course","not",6
"of","him","as",6
"of","how","the",6
"of","how","to",6
"of","human","rights",6
"of","it","is",6
"of","me","and",6
"of","my","blog",6
"of","my","head",6
"of","my","mind",6
"of","my","time",6
"of","our","own",6
"of","people","in",6
"of","the","band",6
"of","the","bible",6
"of","the","body",6
"of","the","box",6
"of","the","countrys",6
"of","the","court",6
"of","the","father",6
"of","the","human",6
"of","the","international",6
"of","the","land",6
"of","the","major",6
"of","the","matter",6
"of","the","page",6
"of","the","place",6
"of","the","police",6
"of","the","project",6
"of","the","summer",6
"of","the","top",6
"of","the","whole",6
"of","the","wind",6
"of","the","worst",6
"of","things","i",6
"of","this","year",6
"of","us","to",6
"of","water","and",6
"of","what","i",6
"of","what","is",6
"of","what","it",6
"of","what","we",6
"of","work","in",6
"of","you","know",6
"off","in","the",6
"often","than","not",6
"on","a","few",6
"on","a","saturday",6
"on","a","sunday",6
"on","all","the",6
"on","each","side",6
"on","friday","night",6
"on","sunday","morning",6
"on","that","one",6
"on","the","field",6
"on","the","island",6
"on","the","list",6
"on","the","one",6
"on","the","website",6
"on","their","way",6
"on","this","day",6
"on","this","one",6
"on","your","blog",6
"once","a","week",6
"once","you","have",6
"one","in","which",6
"one","more","thing",6
"one","of","a",6
"one","of","its",6
"one","side","of",6
"only","one","who",6
"or","anyone","else",6
"order","to","be",6
"out","a","little",6
"out","and","i",6
"out","by","the",6
"out","it","was",6
"out","of","bed",6
"out","of","control",6
"out","of","me",6
"out","of","work",6
"out","on","a",6
"out","some","of",6
"out","that","the",6
"out","the","door",6
"outside","of","my",6
"outside","of","the",6
"over","at","the",6
"owner","of","the",6
"part","of","me",6
"part","of","this",6
"participant","in","the",6
"participating","in","the",6
"past","few","months",6
"past","few","weeks",6
"past","few","years",6
"people","at","the",6
"people","who","had",6
"picked","up","the",6
"picture","of","a",6
"place","on","the",6
"play","in","the",6
"playing","with","the",6
"please","tell","me",6
"pleased","with","the",6
"point","in","the",6
"points","in","the",6
"provide","a","means",6
"put","in","a",6
"put","it","back",6
"put","me","in",6
"put","together","a",6
"ready","for","a",6
"ready","to","be",6
"really","hard","to",6
"really","have","to",6
"really","need","to",6
"result","of","the",6
"rid","of","the",6
"right","next","to",6
"right","now","is",6
"right","off","the",6
"right","to","be",6
"rock","n","roll",6
"roll","hall","of",6
"run","in","the",6
"said","she","was",6
"said","they","were",6
"said","to","me",6
"same","way","as",6
"say","goodbye","to",6
"second","half","of",6
"see","how","it",6
"see","if","i",6
"see","that","the",6
"served","in","the",6
"she","has","a",6
"she","told","me",6
"she","wanted","to",6
"should","be","able",6
"show","that","the",6
"side","by","side",6
"sit","back","and",6
"so","far","the",6
"so","far","this",6
"so","far","we",6
"so","happy","to",6
"so","he","could",6
"so","i","know",6
"so","i","started",6
"so","i","think",6
"so","i","used",6
"so","ive","been",6
"so","many","other",6
"so","much","easier",6
"so","much","so",6
"so","thankful","for",6
"so","that","he",6
"so","that","was",6
"so","they","are",6
"so","this","is",6
"so","to","speak",6
"so","we","decided",6
"so","we","had",6
"so","when","the",6
"so","why","not",6
"some","of","your",6
"somewhere","in","the",6
"soon","as","the",6
"sooner","or","later",6
"sort","of","a",6
"sounds","like","a",6
"spent","a","lot",6
"spent","most","of",6
"spent","much","of",6
"spoke","to","the",6
"start","with","a",6
"start","with","the",6
"starting","to","feel",6
"still","trying","to",6
"such","as","a",6
"support","for","the",6
"supposed","to","do",6
"sure","that","i",6
"sure","that","you",6
"talking","about","a",6
"talking","about","the",6
"tell","you","what",6
"tend","to","be",6
"th","anniversary","of",6
"than","a","few",6
"than","i","have",6
"than","that","of",6
"that","and","the",6
"that","but","i",6
"that","by","the",6
"that","could","have",6
"that","he","can",6
"that","he","did",6
"that","i","get",6
"that","i","just",6
"that","in","a",6
"that","in","order",6
"that","is","how",6
"that","it","can",6
"that","it","has",6
"that","jesus","was",6
"that","made","the",6
"that","make","me",6
"that","may","be",6
"that","most","people",6
"that","some","of",6
"that","they","do",6
"that","they","may",6
"that","we","do",6
"that","we","dont",6
"that","we","need",6
"that","which","is",6
"that","you","do",6
"thats","exactly","what",6
"thats","not","the",6
"thats","the","way",6
"the","author","of",6
"the","base","of",6
"the","best","things",6
"the","birth","of",6
"the","board","of",6
"the","body","and",6
"the","bulk","of",6
"the","car","was",6
"the","church","and",6
"the","city","is",6
"the","closest","thing",6
"the","conclusion","that",6
"the","construction","of",6
"the","context","of",6
"the","core","of",6
"the","corner","of",6
"the","creation","of",6
"the","danger","of",6
"the","day","the",6
"the","depth","of",6
"the","desire","to",6
"the","dining","room",6
"the","earth","and",6
"the","effect","of",6
"the","egg","whites",6
"the","end","result",6
"the","end","the",6
"the","establishment","of",6
"the","evolution","of",6
"the","exception","of",6
"the","existence","of",6
"the","father","and",6
"the","feeling","that",6
"the","findings","of",6
"the","first","couple",6
"the","first","few",6
"the","first","person",6
"the","floor","of",6
"the","fourth","quarter",6
"the","ground","and",6
"the","guy","who",6
"the","heat","and",6
"the","help","of",6
"the","knowledge","of",6
"the","last","week",6
"the","length","of",6
"the","lord","and",6
"the","love","of",6
"the","main","character",6
"the","moment","i",6
"the","most","exciting",6
"the","most","interesting",6
"the","most","of",6
"the","needs","of",6
"the","next","book",6
"the","next","step",6
"the","notion","that",6
"the","old","man",6
"the","one","i",6
"the","one","thing",6
"the","other","one",6
"the","pages","of",6
"the","past","week",6
"the","path","to",6
"the","people","and",6
"the","people","i",6
"the","percentage","of",6
"the","phone","and",6
"the","planet","is",6
"the","possibility","that",6
"the","prospect","of",6
"the","recipe","for",6
"the","relationship","between",6
"the","resurrection","of",6
"the","right","time",6
"the","rule","of",6
"the","san","diego",6
"the","san","francisco",6
"the","sense","of",6
"the","sentiment","is",6
"the","shape","of",6
"the","show","and",6
"the","st","louis",6
"the","story","and",6
"the","story","the",6
"the","street","from",6
"the","table","and",6
"the","task","of",6
"the","th","anniversary",6
"the","things","we",6
"the","time","when",6
"the","truth","of",6
"the","tv","show",6
"the","value","of",6
"the","voice","of",6
"the","way","back",6
"the","west","coast",6
"the","whole","of",6
"the","whole","world",6
"the","will","of",6
"the","world","around",6
"the","world","as",6
"the","world","but",6
"the","world","from",6
"the","worlds","largest",6
"their","own","right",6
"their","way","to",6
"them","i","have",6
"them","to","a",6
"themselves","in","the",6
"then","i","was",6
"then","there","are",6
"there","and","i",6
"there","at","the",6
"there","is","this",6
"there","was","also",6
"there","was","something",6
"there","were","no",6
"there","were","two",6
"theres","also","a",6
"theres","not","much",6
"theres","one","thing",6
"these","days","the",6
"they","are","just",6
"they","are","on",6
"they","are","very",6
"they","came","to",6
"they","can","do",6
"they","could","have",6
"they","decided","to",6
"they","did","a",6
"they","did","not",6
"they","dont","like",6
"they","should","be",6
"they","wanted","to",6
"they","were","so",6
"they","were","very",6
"thing","that","i",6
"things","going","on",6
"things","i","have",6
"things","in","a",6
"things","to","do",6
"think","about","that",6
"think","about","the",6
"think","about","what",6
"think","i","might",6
"think","it","will",6
"think","that","if",6
"think","you","can",6
"thinking","about","what",6
"this","but","i",6
"this","can","be",6
"this","is","because",6
"this","is","done",6
"this","is","something",6
"this","morning","and",6
"this","past","weekend",6
"this","was","one",6
"this","week","that",6
"this","week","we",6
"thought","i","could",6
"thought","id","share",6
"three","of","them",6
"through","and","through",6
"through","some","of",6
"time","i","will",6
"time","in","my",6
"time","to","do",6
"time","to","write",6
"times","a","week",6
"times","when","i",6
"to","a","local",6
"to","a","point",6
"to","answer","the",6
"to","appreciate","the",6
"to","be","all",6
"to","be","considered",6
"to","be","found",6
"to","be","seen",6
"to","be","so",6
"to","change","or",6
"to","check","it",6
"to","come","and",6
"to","comply","with",6
"to","cut","out",6
"to","discuss","the",6
"to","do","all",6
"to","do","but",6
"to","do","one",6
"to","do","things",6
"to","eat","and",6
"to","enjoy","the",6
"to","ensure","the",6
"to","enter","the",6
"to","get","away",6
"to","get","through",6
"to","give","to",6
"to","go","in",6
"to","go","the",6
"to","have","any",6
"to","help","him",6
"to","help","out",6
"to","help","them",6
"to","help","with",6
"to","him","that",6
"to","hold","onto",6
"to","know","each",6
"to","know","who",6
"to","learn","that",6
"to","let","me",6
"to","make","an",6
"to","make","more",6
"to","make","my",6
"to","me","this",6
"to","move","the",6
"to","name","a",6
"to","note","that",6
"to","people","who",6
"to","play","a",6
"to","point","out",6
"to","prepare","for",6
"to","put","my",6
"to","read","about",6
"to","remember","that",6
"to","say","goodbye",6
"to","say","is",6
"to","say","it",6
"to","say","we",6
"to","show","that",6
"to","sit","with",6
"to","speak","to",6
"to","stop","and",6
"to","stop","it",6
"to","take","my",6
"to","the","body",6
"to","the","car",6
"to","the","church",6
"to","the","east",6
"to","the","extent",6
"to","the","fact",6
"to","the","game",6
"to","the","local",6
"to","the","original",6
"to","the","police",6
"to","the","store",6
"to","the","th",6
"to","the","united",6
"to","this","point",6
"to","what","i",6
"to","win","a",6
"to","work","the",6
"today","i","had",6
"today","is","a",6
"together","in","a",6
"told","him","that",6
"told","us","that",6
"took","care","of",6
"tried","to","get",6
"try","not","to",6
"until","i","got",6
"until","you","have",6
"up","a","bit",6
"up","and","i",6
"up","because","i",6
"up","by","the",6
"up","in","my",6
"up","in","our",6
"up","to","get",6
"up","to","her",6
"up","to","my",6
"up","with","some",6
"us","that","we",6
"us","to","be",6
"use","it","for",6
"used","to","make",6
"used","to","the",6
"very","difficult","to",6
"very","good","at",6
"waiting","to","be",6
"wake","up","and",6
"want","to","have",6
"want","to","put",6
"want","to","write",6
"wanted","to","get",6
"wanted","to","make",6
"wanted","to","share",6
"wanted","to","try",6
"wants","me","to",6
"was","a","lot",6
"was","an","interesting",6
"was","due","to",6
"was","given","the",6
"was","like","a",6
"was","no","longer",6
"was","not","the",6
"was","of","course",6
"was","only","a",6
"was","perfect","for",6
"was","ready","to",6
"was","reminded","of",6
"was","so","good",6
"was","taken","to",6
"was","that","it",6
"was","the","same",6
"was","willing","to",6
"was","written","by",6
"way","back","to",6
"way","of","life",6
"way","or","another",6
"we","are","very",6
"we","ended","up",6
"we","have","the",6
"we","have","two",6
"we","should","be",6
"we","should","have",6
"we","tried","to",6
"we","were","there",6
"week","in","the",6
"weeks","ago","i",6
"well","as","their",6
"well","if","you",6
"well","in","the",6
"went","for","a",6
"went","to","my",6
"were","a","few",6
"were","a","little",6
"were","looking","for",6
"were","on","the",6
"were","to","be",6
"what","does","it",6
"what","has","happened",6
"what","i","wanted",6
"what","it","means",6
"what","they","want",6
"what","to","expect",6
"when","he","came",6
"when","he","said",6
"when","i","can",6
"when","i","did",6
"when","i","dont",6
"when","i","took",6
"when","we","get",6
"when","we","moved",6
"when","you","get",6
"when","you","want",6
"where","he","had",6
"where","it","is",6
"where","they","were",6
"where","we","are",6
"which","i","think",6
"which","means","i",6
"while","he","was",6
"while","i","am",6
"while","it","is",6
"while","she","was",6
"while","there","is",6
"while","we","were",6
"who","are","in",6
"who","came","to",6
"who","does","not",6
"who","is","not",6
"whole","lot","of",6
"why","i","dont",6
"will","always","have",6
"will","be","an",6
"will","be","much",6
"will","be","on",6
"will","have","no",6
"will","have","some",6
"will","let","you",6
"will","make","a",6
"will","never","be",6
"will","say","that",6
"with","a","heavy",6
"with","a","small",6
"with","me","i",6
"with","olive","oil",6
"with","one","another",6
"with","the","help",6
"with","whom","i",6
"work","for","the",6
"work","on","a",6
"work","with","the",6
"would","be","an",6
"would","be","good",6
"would","be","like",6
"would","be","on",6
"would","be","so",6
"would","end","up",6
"would","have","liked",6
"would","have","loved",6
"would","make","a",6
"would","want","to",6
"wrong","wrong","wrong",6
"year","or","two",6
"years","i","have",6
"years","in","prison",6
"yes","i","am",6
"you","and","i",6
"you","are","having",6
"you","can","add",6
"you","can","go",6
"you","can","only",6
"you","can","put",6
"you","can","take",6
"you","do","have",6
"you","do","that",6
"you","do","you",6
"you","dont","even",6
"you","end","up",6
"you","for","your",6
"you","hear","it",6
"you","in","the",6
"you","in","your",6
"you","live","in",6
"you","may","not",6
"you","may","want",6
"you","need","a",6
"you","one","of",6
"you","see","i",6
"you","that","you",6
"you","think","i",6
"you","think","you",6
"you","want","your",6
"you","wanted","to",6
"you","were","to",6
"you","would","expect",6
"your","friends","and",6
"a","bad","thing",5
"a","big","part",5
"a","bit","different",5
"a","call","from",5
"a","celebration","of",5
"a","certain","amount",5
"a","chance","of",5
"a","comment","on",5
"a","completely","different",5
"a","day","at",5
"a","deep","breath",5
"a","difference","in",5
"a","family","of",5
"a","few","blocks",5
"a","few","extra",5
"a","few","moments",5
"a","few","people",5
"a","great","place",5
"a","high","school",5
"a","human","being",5
"a","kid","i",5
"a","large","amount",5
"a","little","and",5
"a","little","different",5
"a","little","over",5
"a","load","of",5
"a","long","and",5
"a","lot","like",5
"a","love","of",5
"a","majority","of",5
"a","means","for",5
"a","minute","to",5
"a","moment","and",5
"a","need","for",5
"a","new","perspective",5
"a","participant","in",5
"a","photo","of",5
"a","pile","of",5
"a","pinch","of",5
"a","place","of",5
"a","place","to",5
"a","plastic","bag",5
"a","quarter","of",5
"a","return","to",5
"a","right","to",5
"a","short","story",5
"a","small","amount",5
"a","tendency","to",5
"a","third","of",5
"a","time","for",5
"a","time","in",5
"a","touch","of",5
"a","very","very",5
"a","woman","in",5
"a","year","and",5
"a","year","in",5
"able","to","go",5
"able","to","keep",5
"able","to","say",5
"able","to","use",5
"able","to","write",5
"about","in","the",5
"about","it","the",5
"about","percent","of",5
"about","the","same",5
"about","the","two",5
"about","to","be",5
"advertising","and","linking",5
"advertising","fees","by",5
"after","he","was",5
"again","this","is",5
"all","but","i",5
"all","four","of",5
"all","had","a",5
"all","in","the",5
"all","it","was",5
"all","of","it",5
"all","the","parts",5
"all","the","while",5
"although","it","is",5
"always","seems","to",5
"am","happy","to",5
"am","hoping","to",5
"am","in","a",5
"am","looking","forward",5
"am","proud","to",5
"am","so","excited",5
"amazon","eu","associates",5
"amazon","eu","this",5
"amazonca","amazoncouk","amazonde",5
"amazoncom","amazonca","amazoncouk",5
"amazoncouk","amazonde","amazonfr",5
"amazonde","amazonfr","amazonit",5
"amazones","certain","content",5
"amazonfr","amazonit","and",5
"amazonit","and","amazones",5
"an","average","of",5
"an","excuse","to",5
"an","old","man",5
"an","outlet","for",5
"and","a","large",5
"and","a","sense",5
"and","after","a",5
"and","after","the",5
"and","amazon","eu",5
"and","amazones","certain",5
"and","ask","for",5
"and","became","a",5
"and","buy","a",5
"and","did","i",5
"and","every","time",5
"and","figure","out",5
"and","for","a",5
"and","full","of",5
"and","fun","to",5
"and","get","the",5
"and","guess","what",5
"and","have","to",5
"and","he","did",5
"and","how","much",5
"and","how","the",5
"and","i","even",5
"and","i","havent",5
"and","i","made",5
"and","i","must",5
"and","i","remember",5
"and","i","said",5
"and","i","wouldnt",5
"and","if","we",5
"and","if","youre",5
"and","im","still",5
"and","in","no",5
"and","is","not",5
"and","is","now",5
"and","is","subject",5
"and","it","does",5
"and","it","makes",5
"and","its","been",5
"and","just","as",5
"and","let","them",5
"and","linking","to",5
"and","listen","to",5
"and","made","me",5
"and","make","the",5
"and","managed","to",5
"and","many","others",5
"and","my","family",5
"and","new","york",5
"and","now","its",5
"and","now","you",5
"and","others","who",5
"and","plenty","of",5
"and","put","it",5
"and","roll","hall",5
"and","see","where",5
"and","several","other",5
"and","she","has",5
"and","so","far",5
"and","so","it",5
"and","some","are",5
"and","talk","about",5
"and","tell","me",5
"and","that","means",5
"and","that","we",5
"and","that","will",5
"and","thats","how",5
"and","thats","where",5
"and","the","best",5
"and","the","result",5
"and","the","whole",5
"and","their","families",5
"and","then","cut",5
"and","then","she",5
"and","theres","a",5
"and","they","can",5
"and","things","that",5
"and","took","a",5
"and","tries","to",5
"and","wanted","to",5
"and","watch","the",5
"and","we","all",5
"and","we","want",5
"and","we","were",5
"and","what","he",5
"and","what","we",5
"and","when","you",5
"and","will","have",5
"and","will","not",5
"and","yes","i",5
"and","yet","i",5
"and","you","dont",5
"and","you","may",5
